brand,model,engine_cc,max_power_bhp,kerb_weight_kg,fuel_type,transmission,kilometers_driven,fuel_efficiency_kmpl
Kia,Carens,1800,121.3,1401,Diesel,Manual,128719,22.8
Tata,Altroz,1600,127.6,1242,Diesel,Manual,110407,22.5
Toyota,Yaris,2000,181.7,1869,Petrol,Automatic,71845,18.2
Hyundai,Verna,1500,111.6,1560,Diesel,Manual,97306,24.4
Nissan,Micra,1800,144.4,1276,Diesel,Manual,20373,22.8
Ford,Figo,1600,148.8,1809,Diesel,Automatic,155179,21.7
Nissan,Micra,1200,73.1,1589,Petrol,Automatic,195385,22.7
Maruti Suzuki,WagonR,1200,76.0,1408,Diesel,Automatic,64311,22.8
Honda,WR-V,1000,79.0,1072,Diesel,Manual,100297,25.9
Tata,Nexon,2000,179.3,1239,Diesel,Manual,53168,22.3
Hyundai,i10,1800,152.2,1890,Petrol,Manual,100511,20.8
Volkswagen,Polo,1000,70.6,1231,Petrol,Automatic,130761,22.5
Kia,Seltos,2000,168.9,959,Diesel,Manual,56796,21.9
BMW,X3,1600,135.5,1025,Diesel,Automatic,190760,23.2
Kia,Seltos,2200,162.9,1296,Diesel,Automatic,83486,20.4
Volkswagen,Vento,2500,228.9,1394,Diesel,Manual,156201,21.6
Tata,Harrier,2200,150.0,980,Diesel,Automatic,109895,20.9
Honda,Civic,1200,77.6,1231,Diesel,Automatic,195830,22.9
Ford,Aspire,1800,106.0,1264,Petrol,Automatic,152741,20.1
Volkswagen,Vento,2200,191.1,1111,Diesel,Manual,22935,21.0
Hyundai,Venue,1600,109.1,1255,Petrol,Automatic,70566,22.4
Kia,Carens,2500,152.0,851,Petrol,Automatic,18610,16.8
Tata,Nexon,1000,55.3,1640,Petrol,Manual,62482,23.0
Nissan,Sunny,1800,148.8,1736,Diesel,Manual,18144,21.5
Hyundai,Venue,2000,110.2,967,Diesel,Manual,127716,22.7
Ford,Figo,1600,94.1,1886,Diesel,Manual,16661,23.1
Ford,Freestyle,1600,102.5,1542,Diesel,Manual,147608,22.1
Toyota,Camry,2500,140.9,1128,Diesel,Automatic,47617,19.3
Toyota,Innova,1000,62.5,1405,Diesel,Manual,42414,26.5
Nissan,Kicks,2200,202.4,1853,Diesel,Automatic,70861,20.4
Volkswagen,Taigun,2500,150.4,939,Petrol,Automatic,167045,17.6
Honda,WR-V,1500,136.1,1472,Diesel,Manual,146424,23.6
Nissan,Micra,1800,149.7,1486,Petrol,Automatic,81156,21.4
Honda,Civic,1000,76.8,938,Diesel,Automatic,65234,23.3
Kia,Sonet,1200,90.8,1733,Petrol,Manual,99205,22.0
Maruti Suzuki,Dzire,1600,89.0,1286,Petrol,Automatic,187167,19.8
Ford,Figo,1000,86.9,1425,Petrol,Manual,39209,22.5
Volkswagen,Vento,1500,118.7,1870,Diesel,Manual,113755,22.5
Ford,Figo,1500,137.5,1472,Diesel,Automatic,116436,22.0
Kia,Sonet,2200,194.5,854,Petrol,Automatic,109068,20.0
Kia,Carens,1600,150.3,1310,Petrol,Automatic,102965,20.4
BMW,520d,1000,69.8,1742,Petrol,Manual,153141,24.2
Toyota,Innova,2200,128.6,1564,Diesel,Manual,17051,22.2
BMW,X3,2000,158.0,1771,Diesel,Automatic,38205,19.8
Kia,Seltos,2500,218.1,1853,Petrol,Manual,149171,17.9
Kia,Seltos,1000,85.1,1544,Diesel,Automatic,70947,25.1
Honda,Amaze,2000,162.6,1539,Petrol,Automatic,89497,18.9
Kia,Carens,1000,84.1,975,Petrol,Manual,71687,24.4
Kia,Seltos,2500,222.8,1208,Diesel,Manual,33608,20.2
Maruti Suzuki,Dzire,1500,99.2,1481,Diesel,Manual,21625,22.5
Kia,Sonet,1500,84.1,1128,Petrol,Manual,104957,22.9
Hyundai,Venue,1500,102.1,1191,Diesel,Automatic,56642,22.6
BMW,X1,1800,123.0,1368,Diesel,Automatic,138609,22.8
Hyundai,Creta,1500,132.8,1097,Petrol,Automatic,172438,22.3
Ford,Aspire,1500,132.8,1158,Petrol,Manual,180236,22.6
Tata,Nexon,2200,122.0,1221,Diesel,Automatic,71698,20.7
Nissan,Micra,1500,135.1,1698,Petrol,Automatic,189140,20.7
BMW,X3,2500,159.4,1203,Petrol,Automatic,105594,19.1
Honda,Amaze,2200,179.0,1225,Diesel,Automatic,123817,21.9
Volkswagen,Taigun,1200,88.5,1307,Petrol,Automatic,199976,22.6
Tata,Nexon,1000,90.3,1872,Petrol,Manual,115955,23.6
Volkswagen,Taigun,1200,111.6,1243,Petrol,Manual,26321,22.5
Tata,Harrier,1600,116.8,1821,Diesel,Automatic,11689,21.5
Nissan,Micra,2000,137.0,1707,Diesel,Manual,184180,22.2
Toyota,Yaris,1000,90.7,1212,Diesel,Automatic,49979,24.9
Nissan,Micra,1500,86.5,1160,Diesel,Automatic,94993,23.3
Tata,Altroz,1200,66.6,1759,Diesel,Automatic,76867,24.7
Maruti Suzuki,Baleno,1000,86.1,1883,Diesel,Automatic,187151,26.5
Maruti Suzuki,Swift,1000,77.1,1271,Petrol,Automatic,64204,22.7
Toyota,Camry,2200,196.9,995,Diesel,Manual,184569,22.0
Toyota,Yaris,2000,158.9,1316,Diesel,Manual,22663,22.7
Ford,Ecosport,2000,188.9,1156,Diesel,Manual,192351,22.4
Nissan,Micra,2000,164.7,1777,Petrol,Automatic,43610,18.4
Hyundai,i20,1800,152.2,1240,Petrol,Automatic,82187,20.2
Honda,Civic,1000,60.5,1348,Petrol,Automatic,5763,23.7
Maruti Suzuki,WagonR,1200,109.3,1124,Diesel,Automatic,40993,24.3
Hyundai,Verna,1000,89.3,1158,Diesel,Automatic,155647,24.0
Maruti Suzuki,Baleno,1600,109.4,1040,Diesel,Manual,140340,22.6
Tata,Nexon,1800,136.8,1309,Petrol,Manual,126941,20.1
Volkswagen,Vento,1500,140.8,1196,Diesel,Automatic,172527,21.8
Honda,City,1800,158.8,1738,Diesel,Manual,125938,21.2
Nissan,Kicks,1200,94.8,1197,Petrol,Manual,15763,21.7
Honda,WR-V,2500,229.6,1505,Diesel,Manual,125704,20.8
Toyota,Glanza,1200,107.9,1191,Petrol,Manual,91507,23.2
Honda,Amaze,2000,177.4,1074,Diesel,Manual,145317,21.5
Tata,Altroz,1500,132.3,1498,Diesel,Manual,182001,25.1
Nissan,Kicks,1500,97.7,1178,Petrol,Automatic,110066,20.9
BMW,520d,2000,128.4,1243,Petrol,Manual,18799,19.4
Nissan,Micra,2000,118.2,1720,Petrol,Automatic,10150,20.6
Hyundai,i10,2200,125.8,1452,Petrol,Automatic,77741,17.7
Tata,Nexon,1000,78.0,850,Diesel,Automatic,172915,24.8
Toyota,Corolla,1800,118.5,1675,Diesel,Automatic,33415,22.2
Tata,Tiago,2000,130.5,1721,Petrol,Automatic,109952,20.1
Nissan,Kicks,1800,109.4,1103,Petrol,Automatic,115382,18.6
BMW,520d,1600,150.1,1413,Petrol,Manual,82189,22.8
Toyota,Corolla,1200,102.1,1155,Diesel,Manual,111892,23.1
Volkswagen,Vento,1800,122.6,1273,Diesel,Manual,7960,23.5
Toyota,Yaris,1500,116.0,1757,Petrol,Manual,114575,23.0
Hyundai,Venue,2200,159.9,1479,Petrol,Automatic,51441,18.2
Honda,WR-V,1200,102.2,1523,Petrol,Manual,144784,22.6
Toyota,Glanza,2200,201.4,1742,Diesel,Automatic,183179,19.9
Honda,Amaze,1000,67.1,1830,Diesel,Automatic,103744,25.5
Tata,Tiago,2000,145.2,1034,Petrol,Automatic,14611,19.9
Tata,Tiago,2000,162.4,1414,Petrol,Automatic,146448,18.3
Toyota,Camry,1200,89.2,951,Petrol,Manual,56666,24.3
Maruti Suzuki,Swift,2500,187.4,1094,Diesel,Automatic,180753,18.6
Honda,City,1500,96.8,1125,Diesel,Automatic,55301,23.1
Nissan,Micra,1000,73.4,1196,Petrol,Automatic,103239,21.7
Volkswagen,Polo,1200,76.0,912,Diesel,Manual,36846,24.2
Tata,Tiago,1600,146.7,1106,Petrol,Manual,53624,20.8
Ford,Freestyle,2200,196.1,1412,Petrol,Automatic,106128,17.3
Nissan,Sunny,2500,214.8,1285,Diesel,Manual,31151,19.5
Toyota,Yaris,2200,191.5,1149,Petrol,Manual,110208,19.0
Honda,City,1000,86.1,872,Diesel,Automatic,65113,24.7
Honda,WR-V,1800,159.3,1183,Petrol,Automatic,94261,18.7
BMW,X1,1200,96.7,1227,Diesel,Manual,11588,22.8
Ford,Freestyle,2000,117.9,1585,Diesel,Manual,177042,22.4
Volkswagen,Taigun,2200,190.2,973,Petrol,Automatic,55862,19.5
Tata,Altroz,2200,171.8,1482,Diesel,Automatic,66779,20.4
Hyundai,Verna,1800,161.3,1372,Petrol,Manual,156834,20.2
Kia,Carens,1600,106.1,1522,Diesel,Automatic,160383,23.7
Tata,Nexon,2000,130.8,1392,Diesel,Manual,180460,22.2
BMW,X1,2200,188.8,1385,Diesel,Manual,31625,19.9
Hyundai,i10,2200,136.9,1745,Diesel,Manual,110528,20.6
Ford,Figo,2000,153.4,1446,Petrol,Automatic,65307,17.8
Toyota,Camry,2500,229.6,1483,Petrol,Manual,22807,18.2
Hyundai,Creta,2200,127.9,1580,Diesel,Automatic,13710,21.6
Maruti Suzuki,WagonR,1600,143.2,1182,Diesel,Manual,96078,22.8
Kia,Seltos,1600,93.6,920,Diesel,Manual,197757,24.3
Nissan,Sunny,1000,65.2,1433,Petrol,Automatic,195170,23.6
Kia,Seltos,1600,134.2,1613,Petrol,Manual,178932,22.6
Hyundai,i10,2000,141.3,1333,Petrol,Manual,194282,20.4
Volkswagen,Polo,1200,90.1,1529,Diesel,Manual,153961,23.9
Kia,Sonet,1600,109.4,905,Diesel,Manual,18489,22.0
Tata,Harrier,1500,127.8,1273,Diesel,Automatic,114116,21.9
Kia,Carens,1500,110.7,1765,Diesel,Automatic,24239,22.8
Kia,Carens,2200,190.1,924,Diesel,Manual,147906,20.6
Kia,Carens,1200,73.2,940,Diesel,Automatic,70058,23.1
Nissan,Kicks,2000,127.1,1091,Petrol,Manual,33816,20.6
Hyundai,Venue,1800,156.2,1002,Diesel,Manual,16471,23.9
Hyundai,i10,1000,80.4,1862,Petrol,Manual,91816,24.4
Tata,Altroz,1000,94.0,1168,Diesel,Manual,20048,24.5
Kia,Carens,2000,114.8,1804,Diesel,Automatic,106975,21.5
Toyota,Yaris,1600,149.7,1523,Petrol,Manual,11263,21.9
Honda,WR-V,2200,174.7,1890,Diesel,Automatic,135549,20.5
BMW,520d,2000,132.7,1420,Petrol,Manual,34245,20.7
Maruti Suzuki,Baleno,2200,122.9,923,Diesel,Automatic,12945,21.2
Volkswagen,Vento,1600,119.2,1222,Diesel,Manual,85994,24.6
Ford,Ecosport,1600,117.4,1646,Petrol,Manual,160322,21.6
Hyundai,Venue,2000,117.4,1839,Petrol,Automatic,149576,19.5
Tata,Nexon,2000,159.0,1794,Petrol,Manual,63497,20.6
Hyundai,Verna,2500,225.8,1005,Diesel,Automatic,80035,20.5
BMW,X3,2500,144.8,960,Petrol,Manual,122922,20.1
Volkswagen,Polo,1800,148.7,1818,Diesel,Manual,19326,22.1
Nissan,Micra,2200,147.9,1810,Petrol,Manual,144196,18.3
Maruti Suzuki,Ciaz,2000,140.7,1081,Diesel,Automatic,85938,20.7
BMW,X3,1200,101.4,1286,Diesel,Manual,124584,26.0
BMW,X3,1800,148.2,1666,Petrol,Manual,75465,21.9
Maruti Suzuki,Dzire,1500,122.0,1542,Petrol,Automatic,102581,20.6
Tata,Harrier,1500,131.8,1473,Petrol,Manual,41540,22.4
Hyundai,i10,1000,61.1,1535,Petrol,Automatic,18000,21.8
Hyundai,i20,1600,89.8,919,Diesel,Manual,111118,24.9
Nissan,Kicks,2200,174.8,1270,Petrol,Automatic,172500,19.6
Tata,Nexon,2000,150.5,1212,Diesel,Manual,190777,23.9
Volkswagen,Vento,2500,199.5,1090,Diesel,Automatic,113084,20.1
Toyota,Innova,2200,128.3,1858,Petrol,Automatic,66360,17.1
Toyota,Camry,2500,214.2,1726,Petrol,Manual,121716,20.1
Tata,Tiago,2500,190.6,1337,Petrol,Manual,119393,18.0
Ford,Ecosport,1600,144.7,1584,Petrol,Manual,68517,22.2
Tata,Nexon,2500,217.8,960,Petrol,Manual,78005,20.1
Hyundai,i20,2500,175.0,1214,Petrol,Automatic,18596,16.7
Ford,Ecosport,2000,122.2,1074,Petrol,Manual,104220,19.3
BMW,520d,1500,100.8,1147,Petrol,Manual,54626,23.4
Maruti Suzuki,Dzire,1200,92.4,1606,Petrol,Automatic,3988,21.7
Honda,Amaze,2000,135.4,1278,Petrol,Automatic,64012,20.0
Ford,Freestyle,2500,216.5,1419,Petrol,Automatic,161182,18.0
Ford,Figo,1000,71.0,1596,Petrol,Automatic,20523,23.2
Maruti Suzuki,WagonR,2200,175.6,993,Diesel,Automatic,188556,20.0
Kia,Carens,2500,187.6,1637,Petrol,Automatic,130460,18.2
Maruti Suzuki,Dzire,1600,98.7,1232,Petrol,Automatic,194708,21.1
Maruti Suzuki,WagonR,2200,203.7,1600,Petrol,Automatic,168764,17.7
Volkswagen,Vento,1800,113.0,1646,Petrol,Automatic,163739,19.0
Maruti Suzuki,WagonR,1800,151.5,950,Diesel,Manual,85207,21.6
Volkswagen,Taigun,2000,149.6,1632,Diesel,Manual,165747,21.5
Honda,WR-V,1800,167.5,1775,Petrol,Manual,186704,21.9
Toyota,Corolla,2000,152.7,1768,Diesel,Manual,157521,23.2
Hyundai,Venue,1600,133.3,1028,Petrol,Manual,21904,20.2
Maruti Suzuki,Swift,1200,97.1,1895,Petrol,Manual,42363,22.0
Kia,Seltos,2500,183.5,1432,Diesel,Manual,26802,20.0
Ford,Figo,1500,134.7,917,Petrol,Manual,196607,22.6
Maruti Suzuki,Swift,1800,126.8,1346,Diesel,Automatic,77705,21.0
Tata,Tiago,1500,117.3,936,Diesel,Manual,31067,22.4
Ford,Freestyle,1500,93.0,994,Petrol,Automatic,19676,19.7
Tata,Nexon,1000,93.6,1390,Petrol,Automatic,193894,21.0
Nissan,Kicks,1500,142.1,1412,Diesel,Automatic,22319,21.2
Volkswagen,Vento,1200,66.7,1359,Petrol,Automatic,39343,21.7
Tata,Harrier,2500,172.2,1730,Diesel,Manual,56034,18.8
Maruti Suzuki,Baleno,2000,132.7,1139,Diesel,Manual,172300,23.0
Kia,Seltos,1000,74.5,1246,Petrol,Automatic,56750,22.9
Hyundai,i10,1600,97.8,1407,Petrol,Manual,20910,22.2
Tata,Tiago,1200,98.2,1898,Diesel,Manual,153993,24.7
Volkswagen,Vento,2000,164.4,1728,Diesel,Automatic,35707,21.5
Nissan,Micra,1600,101.9,1281,Diesel,Manual,180111,22.7
BMW,X3,1000,94.9,1878,Diesel,Automatic,192088,22.6
Honda,Civic,2200,128.1,1568,Petrol,Manual,92168,21.0
Honda,City,1000,59.5,1741,Petrol,Automatic,111768,22.8
Hyundai,i20,1600,89.3,1208,Petrol,Manual,78419,22.9
Nissan,Sunny,1500,112.2,1833,Petrol,Manual,132326,20.4
Kia,Carens,1200,69.0,1385,Diesel,Manual,13157,26.3
Kia,Sonet,2500,205.3,1165,Petrol,Manual,155134,19.2
Volkswagen,Vento,1000,61.9,1346,Diesel,Automatic,1575,23.0
BMW,X1,2500,187.0,1814,Diesel,Manual,18913,20.4
Maruti Suzuki,Swift,1500,111.1,1624,Diesel,Manual,87068,23.1
Volkswagen,Vento,2000,174.3,1350,Diesel,Automatic,95366,21.0
Ford,Ecosport,1200,102.9,1283,Petrol,Automatic,77914,22.0
Volkswagen,Taigun,2200,203.4,1573,Diesel,Manual,193475,22.1
Ford,Figo,2200,174.4,1752,Petrol,Automatic,132929,17.8
Toyota,Yaris,2200,138.5,909,Diesel,Automatic,25135,21.2
Ford,Freestyle,1200,90.1,1406,Diesel,Manual,113101,23.8
Tata,Harrier,1200,98.1,1814,Petrol,Automatic,86124,20.8
Volkswagen,Vento,2500,235.8,1661,Petrol,Manual,20837,17.8
Kia,Seltos,1500,99.1,906,Petrol,Manual,86240,23.1
Volkswagen,Polo,1000,60.0,1024,Diesel,Automatic,165370,24.4
Ford,Figo,1500,117.9,1459,Diesel,Manual,21802,23.9
Nissan,Sunny,1800,164.8,1233,Diesel,Automatic,110904,22.6
Kia,Carens,2000,174.3,1370,Diesel,Manual,118570,22.3
Tata,Nexon,2500,230.9,1893,Diesel,Automatic,52232,18.8
Hyundai,Creta,1800,105.0,1799,Petrol,Automatic,156165,20.6
Nissan,Kicks,1500,123.4,1394,Petrol,Manual,96688,20.9
Toyota,Corolla,2200,204.8,1755,Petrol,Manual,134475,19.6
Maruti Suzuki,Dzire,1500,133.4,1420,Petrol,Automatic,12426,19.3
Volkswagen,Vento,2000,185.8,1821,Diesel,Automatic,35297,21.4
Ford,Aspire,1800,142.2,1221,Petrol,Manual,74279,22.3
Maruti Suzuki,Ciaz,1600,93.0,1452,Petrol,Manual,110898,22.0
Kia,Carens,1800,129.7,1501,Diesel,Automatic,126955,20.2
Nissan,Micra,1500,129.5,896,Petrol,Automatic,194581,19.8
Tata,Altroz,1200,105.0,1742,Diesel,Manual,108683,25.9
Nissan,Sunny,1500,135.7,1439,Petrol,Manual,63054,22.2
Honda,Civic,2000,132.2,1417,Diesel,Automatic,52552,21.3
Kia,Seltos,1200,88.4,1567,Diesel,Manual,62130,25.1
Kia,Carens,1000,62.3,1226,Petrol,Automatic,168866,22.5
BMW,X1,1000,72.7,1778,Petrol,Manual,151545,23.5
Maruti Suzuki,Ciaz,2000,176.8,1060,Petrol,Automatic,52972,19.5
Toyota,Glanza,1600,113.1,880,Diesel,Manual,154089,24.5
Tata,Altroz,2000,133.3,1066,Petrol,Automatic,91913,18.4
Toyota,Camry,2200,190.0,1003,Petrol,Automatic,145649,18.3
Maruti Suzuki,Swift,2500,212.6,1882,Diesel,Manual,137785,20.4
Toyota,Corolla,1800,105.9,1306,Diesel,Automatic,100492,23.5
Honda,Amaze,1200,89.6,1213,Petrol,Automatic,76589,20.7
Volkswagen,Taigun,1600,113.2,1363,Diesel,Automatic,139561,23.5
Toyota,Innova,1200,78.6,1600,Diesel,Manual,110360,23.8
Kia,Seltos,1800,109.5,989,Diesel,Manual,182272,23.1
Kia,Carens,2200,201.7,1030,Diesel,Manual,26160,22.9
Maruti Suzuki,Swift,1800,121.0,1064,Petrol,Automatic,39236,18.4
Hyundai,Venue,1800,142.5,1890,Petrol,Automatic,93105,18.4
Tata,Harrier,2200,190.6,1614,Diesel,Automatic,133473,21.7
Volkswagen,Taigun,1200,79.5,1368,Diesel,Manual,128320,24.2
Volkswagen,Taigun,1800,115.3,1199,Petrol,Manual,14331,19.5
BMW,320i,1500,120.3,1265,Petrol,Automatic,4415,20.6
Nissan,Sunny,1500,115.5,1480,Petrol,Manual,69741,21.7
BMW,X1,2000,187.5,1132,Petrol,Automatic,107964,18.4
Honda,City,1000,84.1,1880,Diesel,Manual,129849,25.9
Honda,Civic,2000,144.1,1834,Petrol,Automatic,16186,19.0
BMW,520d,1800,168.4,875,Petrol,Manual,63720,22.5
Maruti Suzuki,Swift,1500,98.0,1092,Diesel,Manual,21650,23.7
Ford,Aspire,1500,82.6,851,Petrol,Automatic,70873,20.2
Maruti Suzuki,Ciaz,2500,237.1,860,Petrol,Automatic,169064,16.8
BMW,520d,1200,84.1,1395,Diesel,Automatic,166019,24.4
Tata,Harrier,1500,97.7,1421,Diesel,Automatic,30633,23.4
Toyota,Yaris,1000,78.7,1095,Diesel,Automatic,19574,25.1
Honda,Amaze,2500,201.3,1049,Petrol,Automatic,94427,18.8
Toyota,Corolla,2200,172.0,1401,Diesel,Manual,153662,21.2
Hyundai,Creta,1600,103.8,911,Petrol,Automatic,45727,22.5
Nissan,Micra,1500,122.5,1369,Petrol,Automatic,5983,19.1
Hyundai,Creta,2000,188.0,1513,Diesel,Manual,48932,22.1
Kia,Seltos,1600,109.9,957,Diesel,Manual,154316,24.3
BMW,520d,1000,84.6,986,Petrol,Manual,70835,24.2
Kia,Carens,1600,121.4,1623,Petrol,Manual,194475,21.1
Ford,Figo,2200,156.5,1184,Petrol,Automatic,169150,18.2
Volkswagen,Vento,1800,103.6,932,Petrol,Manual,191587,22.0
BMW,520d,2200,143.6,1526,Petrol,Automatic,113958,17.6
Maruti Suzuki,Swift,1000,63.2,1568,Diesel,Automatic,177689,25.2
Nissan,Micra,2500,230.1,1800,Diesel,Manual,150381,21.9
Volkswagen,Taigun,1800,150.2,1288,Petrol,Manual,29331,22.2
Honda,City,1000,65.0,1142,Diesel,Automatic,159679,23.5
Nissan,Kicks,1800,162.3,1564,Petrol,Automatic,137875,19.7
Honda,City,1600,115.5,1037,Petrol,Automatic,80229,21.5
Toyota,Yaris,2000,129.0,1519,Diesel,Automatic,132984,20.8
Volkswagen,Polo,1800,161.6,1569,Petrol,Manual,158998,20.8
Maruti Suzuki,Baleno,1000,68.2,1624,Petrol,Automatic,124551,22.1
Volkswagen,Polo,1500,100.4,987,Petrol,Automatic,23468,21.9
BMW,520d,2500,235.0,1282,Petrol,Manual,107354,18.8
Tata,Nexon,2500,168.5,1652,Diesel,Automatic,118730,19.6
Tata,Nexon,2500,152.7,983,Diesel,Manual,24614,20.8
BMW,320i,1200,98.9,966,Diesel,Manual,53064,25.6
Nissan,Sunny,1200,93.5,1709,Petrol,Manual,66409,24.1
Hyundai,Creta,2200,185.1,1657,Petrol,Manual,94707,18.9
Maruti Suzuki,Ciaz,2500,217.2,1503,Diesel,Manual,121926,20.6
Volkswagen,Polo,1000,69.6,1652,Petrol,Manual,140218,22.9
Tata,Altroz,1200,82.2,1543,Diesel,Manual,149142,23.4
Ford,Aspire,2000,138.2,1609,Petrol,Manual,5873,19.1
Toyota,Camry,1200,82.9,892,Petrol,Manual,31160,22.6
Tata,Tiago,1000,62.6,1419,Diesel,Automatic,42626,25.1
Volkswagen,Polo,2500,222.3,1344,Diesel,Manual,73951,20.8
Nissan,Kicks,2500,228.3,1757,Petrol,Automatic,36819,15.9
Hyundai,i20,2200,207.7,1672,Diesel,Automatic,159792,21.5
Nissan,Micra,2500,217.8,1681,Diesel,Manual,79492,19.5
Honda,WR-V,1600,117.5,1502,Petrol,Manual,172776,20.8
Ford,Aspire,2500,151.7,1283,Diesel,Automatic,44482,19.5
Nissan,Kicks,1800,158.5,1474,Diesel,Manual,151307,23.7
Kia,Seltos,1800,114.8,1498,Diesel,Manual,99531,23.6
BMW,320i,1200,104.5,1715,Diesel,Manual,112373,24.2
Tata,Altroz,2000,181.0,1780,Diesel,Automatic,193417,18.7
Hyundai,i20,2500,192.7,1388,Petrol,Automatic,71791,18.3
Ford,Aspire,1000,60.8,1368,Diesel,Manual,173372,27.3
BMW,X3,1600,136.4,947,Diesel,Manual,87806,24.2
Kia,Sonet,2500,198.6,1294,Diesel,Manual,4512,20.7
Nissan,Kicks,1600,92.3,1197,Petrol,Manual,186839,22.0
Ford,Freestyle,1000,85.6,1417,Diesel,Manual,6596,26.2
Volkswagen,Polo,1500,117.8,1604,Diesel,Automatic,161973,21.0
Tata,Tiago,1600,128.2,1516,Petrol,Automatic,131177,19.5
Hyundai,Venue,2500,163.0,1425,Petrol,Automatic,12318,17.1
Volkswagen,Vento,2000,160.4,1403,Diesel,Manual,10502,22.7
BMW,X3,2500,177.9,1894,Diesel,Automatic,74069,18.3
Honda,Amaze,1000,66.0,1840,Petrol,Manual,165953,22.3
Hyundai,Venue,1600,95.8,1204,Petrol,Automatic,77441,20.6
Nissan,Micra,2500,195.9,1683,Diesel,Automatic,198326,18.6
Toyota,Innova,2000,162.9,989,Diesel,Manual,106039,21.1
Kia,Carens,2500,172.7,1454,Diesel,Automatic,138345,19.1
Honda,City,1800,137.0,1329,Diesel,Manual,177214,22.1
Kia,Sonet,1000,60.3,1059,Petrol,Automatic,192016,22.2
Honda,City,2000,126.3,1446,Petrol,Automatic,41237,19.0
Hyundai,i10,1000,73.7,889,Diesel,Manual,31272,25.5
Ford,Freestyle,2000,122.9,1450,Petrol,Manual,110001,21.1
BMW,320i,1600,122.0,1390,Diesel,Automatic,18867,23.1
Nissan,Kicks,2200,182.2,1268,Petrol,Automatic,78094,18.3
Kia,Carens,2000,162.7,928,Petrol,Manual,57638,19.1
Maruti Suzuki,WagonR,1200,111.1,1341,Petrol,Manual,67230,23.1
Toyota,Corolla,1500,101.8,1044,Petrol,Automatic,161213,21.3
Maruti Suzuki,Ciaz,2500,214.6,1426,Diesel,Automatic,17411,18.7
Hyundai,i20,1200,106.7,1548,Petrol,Manual,91539,23.4
Nissan,Kicks,1500,118.9,981,Diesel,Automatic,985,21.9
Honda,Amaze,2500,139.8,1784,Petrol,Automatic,24033,18.7
Kia,Seltos,1800,133.2,1356,Petrol,Automatic,49568,20.3
Maruti Suzuki,WagonR,2500,145.6,1171,Petrol,Automatic,1468,19.2
Kia,Seltos,2500,163.9,1138,Diesel,Manual,6847,21.2
Kia,Carens,2200,207.5,1353,Diesel,Automatic,66010,20.9
Tata,Nexon,1800,123.9,917,Petrol,Manual,75218,21.4
Hyundai,Verna,1600,124.2,1384,Diesel,Automatic,75188,23.1
Nissan,Kicks,1200,79.2,1868,Petrol,Automatic,90160,22.4
Maruti Suzuki,Baleno,1200,90.0,1206,Petrol,Automatic,36266,20.8
Ford,Aspire,2500,190.6,1335,Petrol,Manual,76825,19.2
BMW,320i,1500,138.1,1862,Diesel,Manual,84390,23.6
Volkswagen,Polo,1800,114.8,947,Petrol,Manual,50007,22.1
Tata,Harrier,2500,215.8,1080,Petrol,Manual,14933,18.1
Tata,Tiago,1800,170.1,1805,Diesel,Manual,89564,22.8
Maruti Suzuki,Baleno,2000,160.8,1414,Diesel,Automatic,7805,21.4
Maruti Suzuki,Baleno,2000,157.0,1374,Diesel,Automatic,78442,20.2
BMW,X1,2500,171.0,1763,Petrol,Manual,138180,17.3
Ford,Figo,1800,152.0,1867,Petrol,Manual,103031,20.4
BMW,X1,1000,94.7,1749,Petrol,Manual,79880,22.1
Ford,Aspire,2000,116.7,1547,Diesel,Automatic,140576,21.5
Maruti Suzuki,Ciaz,2000,132.6,1411,Diesel,Automatic,34215,19.9
Kia,Carens,2200,191.6,1413,Petrol,Automatic,5123,18.7
Kia,Seltos,1500,82.8,1427,Diesel,Manual,41896,25.2
Hyundai,Creta,1200,99.7,1095,Petrol,Manual,186685,23.3
Honda,Jazz,2200,145.2,1576,Petrol,Automatic,50407,18.1
Honda,Amaze,1800,127.6,1369,Petrol,Manual,169044,20.7
Toyota,Corolla,1000,76.1,890,Diesel,Automatic,19328,23.4
BMW,320i,1500,86.7,1395,Petrol,Manual,130258,22.5
Hyundai,Verna,1600,150.4,1436,Diesel,Automatic,196018,23.8
Ford,Ecosport,2000,124.5,907,Petrol,Automatic,127051,18.1
Ford,Freestyle,1600,133.5,1697,Diesel,Manual,83199,25.0
Toyota,Yaris,1800,99.4,876,Diesel,Manual,110255,24.4
BMW,X1,1800,128.0,1855,Petrol,Manual,10401,20.5
Volkswagen,Taigun,1800,123.4,1701,Petrol,Automatic,18240,18.7
Kia,Seltos,1600,115.3,1185,Diesel,Manual,154044,22.4
Ford,Ecosport,2000,171.6,987,Diesel,Manual,115076,23.4
Volkswagen,Vento,2200,150.5,1230,Diesel,Automatic,103698,21.6
Tata,Harrier,2000,144.8,1317,Diesel,Manual,145630,22.5
Nissan,Micra,1200,103.6,1432,Petrol,Automatic,9129,20.0
Kia,Carens,1200,70.1,1558,Diesel,Automatic,62432,25.0
Nissan,Micra,1800,101.4,1381,Diesel,Automatic,118446,20.1
Nissan,Sunny,1600,124.5,1339,Diesel,Manual,70078,22.2
BMW,X3,2200,165.3,1127,Petrol,Automatic,73952,18.9
Tata,Tiago,1800,153.4,1204,Petrol,Manual,19400,22.2
