company_name,model,year,km_driven,fuel_type,transmission,engine_cc,max_power_bhp,condition,mileage_kmpl,price_usd
Tesla,Model Y,2019,220379,Diesel,Automatic,4240,595,Second Hand,10.1,124271.55
BMW,5 Series,2007,18376,Petrol,Manual,1795,359,Second Hand,31.1,2666.52
McLaren,720S,2000,0,Hybrid,Automatic,3667,487,Brand New,8.0,129581.43
Rolls-Royce,Phantom,2014,0,Petrol,Manual,1440,606,Brand New,12.2,246493.63
Ferrari,Roma,2021,0,Hybrid,Manual,4264,80,Brand New,17.7,248193.98
Tesla,Model 3,2018,0,Petrol,Manual,3326,490,Brand New,27.8,278249.57
Ferrari,Roma,2000,0,Electric,Manual,3694,504,Brand New,13.3,157560.57
BMW,X5,2011,53716,Diesel,Automatic,1018,296,Second Hand,26.7,11890.09
Lamborghini,Aventador,2024,0,Diesel,Manual,4639,563,Brand New,11.5,338744.9
Toyota,Camry,2012,116291,Diesel,Automatic,1953,507,Second Hand,13.4,2000.0
Lamborghini,Huracan,2018,118862,Electric,Manual,1802,464,Second Hand,8.8,194833.6
Nissan,Micra,1987,26757,Electric,Automatic,2054,307,Second Hand,34.4,2000.0
BMW,3 Series,1987,0,Hybrid,Manual,3430,660,Brand New,29.9,92891.8
Land Rover,Range Rover,2012,0,Diesel,Manual,1640,464,Brand New,33.8,47739.35
Ferrari,Roma,1992,0,Electric,Manual,2246,495,Brand New,9.5,243883.37
Toyota,RAV4,2015,0,Hybrid,Manual,966,195,Brand New,23.4,34004.22
Volkswagen,Polo,2000,0,Petrol,Automatic,3601,450,Brand New,24.2,20259.77
Volvo,S60,1991,126043,Hybrid,Automatic,3041,612,Second Hand,31.0,2000.0
Toyota,Camry,2001,191847,Electric,Automatic,2609,659,Second Hand,30.0,2000.0
Audi,A4,2001,0,Electric,Manual,993,676,Brand New,32.4,92308.89
Mercedes-Benz,C-Class,2008,103696,Hybrid,Automatic,3689,277,Second Hand,34.5,34360.65
Lamborghini,Aventador,2003,0,Electric,Manual,1611,412,Brand New,18.9,115482.31
Land Rover,Range Rover,1992,0,Diesel,Manual,4208,243,Brand New,9.1,90221.21
Hyundai,i20,2015,0,Petrol,Automatic,3701,699,Brand New,27.6,14579.93
Land Rover,Discovery,1990,128264,Electric,Automatic,2260,239,Second Hand,23.1,2000.0
Mahindra,XUV500,2003,0,Electric,Automatic,1183,176,Brand New,12.6,10177.89
Ferrari,488,2005,0,Diesel,Automatic,1932,252,Brand New,28.7,159597.27
Ferrari,Roma,1995,93448,Electric,Manual,4857,325,Second Hand,9.3,2000.0
Tesla,Model S,2009,220426,Electric,Manual,3248,689,Second Hand,21.6,29386.74
Porsche,Cayenne,1989,186258,Hybrid,Automatic,2205,369,Second Hand,24.7,2000.0
Lamborghini,Aventador,1988,9590,Electric,Automatic,2166,291,Second Hand,27.8,2000.0
Toyota,Corolla,2010,0,Electric,Automatic,2049,514,Brand New,30.8,13376.01
Mahindra,Scorpio,2008,0,Diesel,Automatic,1140,684,Brand New,34.7,31495.47
Rolls-Royce,Ghost,1987,0,Diesel,Automatic,2648,242,Brand New,22.4,301791.67
Kia,Carnival,2022,234262,Petrol,Automatic,4845,217,Second Hand,24.3,22783.56
Volvo,XC40,1988,0,Electric,Manual,1275,200,Brand New,28.7,72351.18
Kia,Seltos,2009,0,Hybrid,Manual,1452,387,Brand New,23.5,26527.84
Honda,CRV,2016,209044,Electric,Automatic,4469,543,Second Hand,25.7,5534.94
Land Rover,Discovery,2010,110817,Hybrid,Manual,1513,166,Second Hand,12.3,2680.84
Ferrari,488,1986,0,Hybrid,Automatic,3822,370,Brand New,28.8,204579.85
Tata,Safari,2018,155567,Electric,Automatic,3054,70,Second Hand,25.2,9636.85
Volvo,XC60,2015,162088,Petrol,Manual,4379,550,Second Hand,22.9,32186.8
Rolls-Royce,Ghost,1997,0,Electric,Manual,2866,112,Brand New,11.8,254309.73
Tesla,Model 3,2017,0,Hybrid,Automatic,4889,218,Brand New,16.3,363251.98
Mercedes-Benz,E-Class,2017,118237,Electric,Automatic,800,674,Second Hand,24.5,43594.82
Kia,Sonet,1985,0,Hybrid,Manual,3865,276,Brand New,14.8,10224.29
Mahindra,XUV500,1989,232090,Diesel,Automatic,1033,522,Second Hand,30.8,2000.0
Tata,Harrier,1987,38518,Hybrid,Manual,1934,398,Second Hand,33.0,2000.0
Audi,Q5,1995,220413,Diesel,Automatic,4137,93,Second Hand,9.4,2000.0
Porsche,Cayenne,2001,123760,Electric,Manual,4492,112,Second Hand,33.0,9590.16
Honda,CRV,2011,32703,Petrol,Manual,4673,495,Second Hand,20.9,4424.64
Porsche,Cayenne,1990,177039,Hybrid,Automatic,3070,513,Second Hand,27.0,2000.0
Tesla,Model Y,2009,22982,Hybrid,Automatic,3358,572,Second Hand,28.8,2000.0
McLaren,720S,1992,0,Petrol,Manual,4857,377,Brand New,21.6,446033.69
BMW,5 Series,1995,0,Electric,Manual,3632,392,Brand New,22.5,101384.78
Tata,Safari,2014,0,Petrol,Manual,3407,290,Brand New,28.0,35888.36
Ferrari,Roma,2014,231537,Hybrid,Manual,2068,90,Second Hand,32.3,58015.55
Mercedes-Benz,E-Class,1993,0,Electric,Manual,1838,119,Brand New,20.7,64486.28
Land Rover,Discovery,1997,66451,Diesel,Manual,3022,161,Second Hand,33.0,3771.14
Kia,Seltos,1986,0,Diesel,Automatic,1526,473,Brand New,32.0,32690.48
Mahindra,Thar,1999,203757,Hybrid,Manual,2975,435,Second Hand,23.9,2000.0
Rolls-Royce,Phantom,2021,0,Hybrid,Manual,1832,271,Brand New,9.2,97715.84
Mahindra,Thar,2020,0,Diesel,Manual,3353,359,Brand New,9.3,38040.23
Mahindra,Thar,1992,0,Petrol,Manual,3088,380,Brand New,27.3,27689.11
Porsche,Cayenne,1995,0,Hybrid,Manual,4485,477,Brand New,24.1,59335.15
BMW,X3,2015,0,Petrol,Automatic,4127,553,Brand New,27.2,51096.88
Lamborghini,Aventador,1990,39487,Petrol,Manual,946,576,Second Hand,33.7,2000.0
BMW,X3,2011,230698,Petrol,Automatic,3487,209,Second Hand,10.5,21016.21
Tesla,Model Y,1999,0,Hybrid,Manual,3175,317,Brand New,19.5,344430.72
Mahindra,XUV500,2016,61674,Hybrid,Automatic,4100,185,Second Hand,14.3,11347.13
Hyundai,i20,2000,0,Diesel,Manual,1174,507,Brand New,27.1,27080.15
Tesla,Model X,2003,216486,Diesel,Manual,3846,173,Second Hand,33.1,2000.0
Toyota,Corolla,1993,205943,Petrol,Manual,2656,429,Second Hand,25.1,2000.0
McLaren,720S,2010,0,Petrol,Manual,3775,415,Brand New,24.4,369394.76
Ford,Figo,1998,0,Petrol,Automatic,3505,504,Brand New,9.1,44077.23
Ford,Endeavour,1988,200279,Petrol,Automatic,1098,171,Second Hand,18.4,2000.0
Rolls-Royce,Ghost,1988,0,Diesel,Automatic,802,413,Brand New,16.2,327786.29
Nissan,Micra,2007,183801,Diesel,Automatic,1160,370,Second Hand,30.5,5396.64
BMW,X3,1995,60149,Petrol,Manual,1031,354,Second Hand,29.4,2000.0
Porsche,Cayenne,2016,0,Petrol,Manual,1253,96,Brand New,17.0,57273.82
McLaren,720S,2020,0,Petrol,Automatic,1715,444,Brand New,16.9,202194.38
Lamborghini,Aventador,2000,98396,Diesel,Automatic,4281,255,Second Hand,18.8,2000.0
Mercedes-Benz,E-Class,1997,0,Electric,Automatic,3963,454,Brand New,33.0,57655.65
Tata,Harrier,1987,0,Hybrid,Automatic,4039,498,Brand New,14.1,32620.57
Tesla,Model X,2024,160726,Petrol,Automatic,2755,134,Second Hand,10.5,86424.99
Toyota,RAV4,2019,0,Electric,Automatic,1195,501,Brand New,17.3,10913.75
Hyundai,Creta,2015,121971,Diesel,Automatic,1155,319,Second Hand,28.9,8002.7
Kia,Carnival,1985,7160,Petrol,Manual,4612,426,Second Hand,24.7,2000.0
Tesla,Model X,2012,0,Petrol,Automatic,2754,510,Brand New,24.2,295031.4
Kia,Carnival,2015,0,Diesel,Automatic,4553,119,Brand New,34.9,18013.26
Land Rover,Range Rover,2010,243092,Petrol,Manual,1526,143,Second Hand,21.5,3214.87
Nissan,Magnite,2001,0,Petrol,Automatic,2298,180,Brand New,19.8,30115.57
Ford,Figo,2017,198581,Petrol,Manual,1787,569,Second Hand,33.9,2000.0
McLaren,720S,2004,240005,Petrol,Automatic,3855,304,Second Hand,18.5,2000.0
Toyota,Fortuner,2000,141457,Diesel,Manual,4969,246,Second Hand,8.4,2546.05
McLaren,720S,2010,148504,Petrol,Manual,1550,320,Second Hand,9.2,65624.91
Tata,Nexon,2022,188268,Hybrid,Automatic,1416,674,Second Hand,21.4,8718.77
Tesla,Model 3,2002,0,Electric,Manual,4821,304,Brand New,24.1,104933.92
Audi,A4,2013,235961,Hybrid,Automatic,3955,550,Second Hand,31.0,6925.89
Audi,Q5,2021,0,Diesel,Automatic,2691,585,Brand New,9.9,78251.53
Nissan,Micra,2003,0,Diesel,Manual,1542,507,Brand New,8.5,25586.27
Rolls-Royce,Phantom,1987,0,Diesel,Manual,2102,471,Brand New,26.8,198690.65
Mahindra,XUV500,2014,207792,Diesel,Automatic,1400,234,Second Hand,32.3,2000.0
Mercedes-Benz,C-Class,2022,204277,Electric,Manual,3178,337,Second Hand,31.3,29104.77
Mercedes-Benz,GLC,2019,183814,Petrol,Manual,2846,126,Second Hand,28.7,63691.08
Kia,Carnival,2021,0,Diesel,Automatic,2451,623,Brand New,29.6,20741.57
Mercedes-Benz,C-Class,1996,0,Electric,Manual,4984,115,Brand New,26.0,64245.83
Rolls-Royce,Ghost,1985,46037,Petrol,Manual,2621,85,Second Hand,27.5,2000.0
Mercedes-Benz,GLA,1990,54721,Diesel,Manual,3900,265,Second Hand,17.7,2000.0
McLaren,720S,2018,0,Electric,Manual,4983,444,Brand New,34.2,277169.37
Land Rover,Range Rover,2018,40943,Petrol,Manual,3193,237,Second Hand,29.6,35101.99
Tata,Nexon,2012,0,Electric,Automatic,3882,558,Brand New,23.0,35261.2
Porsche,911,2022,0,Electric,Manual,2316,358,Brand New,10.8,70450.05
Tata,Nexon,1993,0,Petrol,Automatic,1179,386,Brand New,17.7,27615.38
Rolls-Royce,Ghost,1989,196060,Petrol,Automatic,2243,688,Second Hand,14.3,2000.0
Mahindra,Scorpio,2011,149215,Diesel,Manual,4139,113,Second Hand,22.5,2000.0
Volvo,S60,1996,0,Electric,Automatic,1543,633,Brand New,8.5,100158.6
Lamborghini,Huracan,1993,0,Electric,Automatic,4519,271,Brand New,24.8,192761.0
Volvo,XC40,2024,0,Electric,Automatic,4181,282,Brand New,15.0,94240.39
Nissan,Magnite,2002,0,Hybrid,Manual,4799,589,Brand New,23.1,31890.61
Nissan,Micra,2021,79698,Petrol,Manual,2230,649,Second Hand,34.4,16823.15
Volkswagen,Vento,1987,0,Petrol,Automatic,1455,414,Brand New,33.9,35774.89
Volkswagen,Polo,1994,242235,Hybrid,Manual,2001,317,Second Hand,22.9,2000.0
Tata,Harrier,1988,210747,Diesel,Automatic,910,609,Second Hand,27.1,2000.0
Porsche,Macan,2008,0,Diesel,Manual,2614,177,Brand New,20.9,46130.83
McLaren,570S,2001,143515,Petrol,Automatic,976,205,Second Hand,17.4,2000.0
Rolls-Royce,Phantom,2021,0,Diesel,Automatic,2468,152,Brand New,25.0,291058.12
Rolls-Royce,Ghost,1997,0,Petrol,Automatic,3583,476,Brand New,33.0,195218.63
Tesla,Model 3,2022,244650,Electric,Automatic,1824,623,Second Hand,20.9,220608.89
McLaren,720S,2022,172903,Petrol,Automatic,2699,113,Second Hand,23.4,93144.76
Nissan,Micra,2015,232589,Electric,Manual,4507,523,Second Hand,33.4,5936.51
Hyundai,Creta,1996,0,Petrol,Manual,2372,583,Brand New,10.0,14996.94
Tesla,Model Y,2010,41732,Electric,Manual,3914,532,Second Hand,23.8,30630.6
Tesla,Model Y,1998,23334,Diesel,Manual,4038,613,Second Hand,19.5,2000.0
Land Rover,Range Rover,1988,0,Diesel,Automatic,4921,495,Brand New,16.5,86080.78
Lamborghini,Huracan,2022,19023,Petrol,Manual,4750,679,Second Hand,28.6,191825.27
McLaren,720S,2007,203039,Petrol,Automatic,1680,391,Second Hand,32.1,67205.76
Lamborghini,Huracan,2001,0,Petrol,Automatic,3575,145,Brand New,11.6,169302.39
Lamborghini,Huracan,2016,0,Electric,Manual,1694,198,Brand New,22.8,247675.49
BMW,3 Series,1992,0,Hybrid,Automatic,1860,650,Brand New,15.4,66980.72
Hyundai,Elantra,2017,193387,Hybrid,Automatic,4079,178,Second Hand,23.3,17208.33
Volvo,XC40,2020,205402,Petrol,Automatic,4910,663,Second Hand,12.8,34852.46
Kia,Sonet,2001,202772,Hybrid,Automatic,2719,501,Second Hand,31.2,2000.0
Ferrari,488,1991,0,Hybrid,Automatic,1070,297,Brand New,26.3,317441.16
Ford,Figo,2016,0,Hybrid,Manual,1176,380,Brand New,28.5,36750.23
Mercedes-Benz,GLA,1999,0,Petrol,Automatic,2136,496,Brand New,26.4,81926.46
Ferrari,Roma,1993,222697,Hybrid,Manual,4657,461,Second Hand,11.2,2000.0
Porsche,Cayenne,2000,153525,Petrol,Automatic,4547,105,Second Hand,25.9,2000.0
Mahindra,Scorpio,2000,0,Hybrid,Manual,918,185,Brand New,34.2,19807.63
Rolls-Royce,Ghost,2010,109841,Diesel,Manual,4078,500,Second Hand,26.1,24452.58
Tata,Safari,2018,79337,Diesel,Automatic,1955,102,Second Hand,9.4,2923.49
Volvo,XC60,1992,99239,Electric,Automatic,1078,606,Second Hand,23.7,2000.0
McLaren,720S,1996,0,Electric,Manual,1351,653,Brand New,26.0,367542.65
BMW,X5,2008,9799,Diesel,Automatic,1821,365,Second Hand,23.1,27272.66
Hyundai,Verna,1989,0,Petrol,Manual,4748,80,Brand New,9.4,24249.61
McLaren,720S,1992,82406,Diesel,Automatic,2224,301,Second Hand,18.8,2000.0
BMW,5 Series,1999,0,Diesel,Manual,942,508,Brand New,13.9,100984.83
Porsche,Cayenne,2013,165020,Hybrid,Manual,4226,454,Second Hand,14.1,16835.17
Honda,Accord,2015,0,Petrol,Automatic,1000,638,Brand New,24.3,31563.8
McLaren,570S,2003,0,Electric,Manual,1138,136,Brand New,23.8,302643.77
Volvo,XC60,2013,0,Petrol,Manual,3592,287,Brand New,11.6,64540.82
Tata,Nexon,1987,0,Petrol,Automatic,2119,634,Brand New,23.5,44938.42
Porsche,Macan,2014,0,Electric,Automatic,3847,124,Brand New,10.4,75636.25
Mahindra,Thar,1992,228860,Diesel,Automatic,3028,181,Second Hand,16.0,2000.0
Ferrari,488,2009,244848,Hybrid,Automatic,4376,594,Second Hand,8.9,67868.43
Lamborghini,Huracan,1999,234368,Diesel,Manual,3981,533,Second Hand,28.3,2000.0
McLaren,570S,2024,0,Electric,Automatic,2567,660,Brand New,33.4,284929.22
Tata,Safari,2013,0,Electric,Manual,3215,552,Brand New,14.5,14753.71
Audi,Q5,2005,162157,Diesel,Manual,4413,597,Second Hand,10.8,2000.0
Mercedes-Benz,E-Class,1985,0,Hybrid,Automatic,2040,93,Brand New,8.3,79145.8
Volkswagen,Vento,2020,77099,Hybrid,Automatic,4064,588,Second Hand,29.0,26664.19
Volkswagen,Vento,2022,101359,Hybrid,Automatic,2669,500,Second Hand,11.1,25716.56
Tata,Nexon,1997,249507,Electric,Manual,2461,360,Second Hand,31.4,2000.0
Tesla,Model Y,2021,70215,Hybrid,Manual,4792,429,Second Hand,19.9,210205.71
BMW,3 Series,2010,131353,Electric,Manual,2716,653,Second Hand,32.7,2000.0
Kia,Seltos,2001,124575,Electric,Manual,2094,616,Second Hand,9.5,2000.0
Porsche,Macan,2008,233949,Hybrid,Automatic,1117,119,Second Hand,11.0,6817.77
Mahindra,Scorpio,1999,0,Diesel,Manual,1143,569,Brand New,27.8,36040.29
Volkswagen,Vento,1989,105734,Diesel,Manual,896,696,Second Hand,33.8,2000.0
Tesla,Model X,1987,11504,Electric,Manual,3540,615,Second Hand,26.4,2000.0
Mercedes-Benz,E-Class,2005,0,Electric,Automatic,4355,166,Brand New,20.9,67294.0
Tata,Harrier,1987,0,Hybrid,Manual,1571,582,Brand New,22.6,30157.65
Porsche,Cayenne,2022,0,Hybrid,Manual,4543,67,Brand New,30.7,82099.56
Mahindra,Thar,2002,0,Diesel,Automatic,2959,486,Brand New,30.9,12246.11
Tata,Harrier,1985,0,Petrol,Automatic,2584,624,Brand New,23.3,17104.93
Ford,Mustang,2003,0,Petrol,Automatic,1128,201,Brand New,28.3,12030.91
Ferrari,Roma,2007,12732,Hybrid,Automatic,2330,629,Second Hand,16.8,2000.0
Volkswagen,Polo,2006,0,Hybrid,Automatic,4102,186,Brand New,11.1,20005.8
Tesla,Model Y,2008,225315,Petrol,Manual,3108,364,Second Hand,22.9,65304.03
Nissan,Micra,2008,35871,Hybrid,Automatic,4036,695,Second Hand,17.0,2000.0
Nissan,Magnite,2011,0,Diesel,Automatic,3677,526,Brand New,12.2,27542.07
Audi,A4,2002,0,Hybrid,Automatic,2074,63,Brand New,34.0,52735.29
Tesla,Model X,2019,0,Diesel,Manual,2317,604,Brand New,16.6,250289.05
Hyundai,Verna,1994,167822,Hybrid,Manual,3255,292,Second Hand,13.6,2000.0
Mahindra,Thar,2011,70263,Electric,Manual,2844,396,Second Hand,12.2,6516.07
Ford,Endeavour,1994,0,Electric,Manual,1212,472,Brand New,15.0,18451.89
Honda,CRV,1991,128937,Hybrid,Manual,3257,129,Second Hand,15.9,2000.0
Kia,Seltos,2016,0,Petrol,Manual,891,557,Brand New,13.8,16694.38
Porsche,911,2022,0,Petrol,Manual,1018,692,Brand New,30.0,73390.18
Lamborghini,Huracan,2021,0,Hybrid,Manual,1605,442,Brand New,14.1,207581.82
Porsche,Cayenne,2020,0,Electric,Manual,1521,486,Brand New,26.0,64837.91
Tata,Harrier,1988,101140,Electric,Automatic,4662,330,Second Hand,13.5,2000.0
BMW,X5,2009,0,Hybrid,Automatic,1165,392,Brand New,32.0,96815.48
Volvo,XC60,2024,56818,Hybrid,Automatic,3545,166,Second Hand,24.3,69475.74
Land Rover,Range Rover,1998,0,Diesel,Manual,1139,319,Brand New,27.1,81133.75
Tata,Safari,1987,31828,Hybrid,Automatic,3085,381,Second Hand,30.1,2000.0
Kia,Seltos,1997,221783,Hybrid,Manual,1440,77,Second Hand,21.4,2000.0
Volkswagen,Vento,2008,100012,Electric,Automatic,2336,319,Second Hand,28.3,2000.0
Audi,A4,1985,0,Petrol,Manual,2949,70,Brand New,18.5,79972.03
Tata,Harrier,2015,0,Electric,Automatic,2054,544,Brand New,8.1,20719.22
Honda,CRV,2016,0,Petrol,Automatic,2403,632,Brand New,23.9,18032.81
Honda,Civic,2010,0,Electric,Manual,2482,633,Brand New,9.6,41551.67
BMW,3 Series,2011,103932,Petrol,Automatic,1913,252,Second Hand,25.5,24424.24
Audi,Q3,2000,0,Electric,Manual,2758,511,Brand New,27.1,65644.08
McLaren,570S,2021,0,Diesel,Automatic,2695,420,Brand New,31.4,115764.41
Audi,Q3,2016,191754,Hybrid,Automatic,1066,122,Second Hand,26.8,29534.7
McLaren,720S,1998,0,Petrol,Automatic,2164,436,Brand New,28.9,243155.75
Lamborghini,Huracan,2010,0,Diesel,Automatic,3979,262,Brand New,25.1,354139.81
Kia,Carnival,2017,0,Diesel,Automatic,4796,625,Brand New,31.0,38382.45
Tesla,Model X,1994,0,Electric,Manual,1489,421,Brand New,32.1,133534.59
Ford,Figo,1995,0,Hybrid,Automatic,3390,416,Brand New,11.7,20436.35
Mahindra,XUV500,2021,228733,Hybrid,Automatic,3566,571,Second Hand,25.9,2000.0
Nissan,Micra,2007,163813,Hybrid,Manual,4765,640,Second Hand,23.7,2000.0
Honda,Civic,1992,58300,Diesel,Automatic,4356,340,Second Hand,13.5,2000.0
Honda,City,1995,0,Electric,Automatic,2323,376,Brand New,22.3,18586.7
Hyundai,i20,1991,238728,Hybrid,Automatic,3906,533,Second Hand,15.2,2000.0
Ferrari,Roma,1997,0,Petrol,Manual,4805,297,Brand New,8.3,107536.27
Honda,Civic,2022,52596,Petrol,Manual,1087,78,Second Hand,17.7,12524.19
Land Rover,Range Rover,1989,56967,Electric,Automatic,1255,361,Second Hand,34.7,2000.0
Rolls-Royce,Phantom,2015,132193,Petrol,Automatic,3027,311,Second Hand,33.0,130329.12
Tata,Safari,2015,82366,Diesel,Automatic,4518,104,Second Hand,11.9,19051.92
Tata,Nexon,2008,0,Petrol,Manual,1974,403,Brand New,8.5,15029.36
Volvo,S60,2020,91292,Diesel,Manual,1450,230,Second Hand,29.6,37185.97
Rolls-Royce,Phantom,2015,0,Petrol,Manual,1545,132,Brand New,19.4,308642.34
Land Rover,Discovery,2022,0,Electric,Manual,3653,99,Brand New,19.4,56258.15
Ford,Endeavour,2016,0,Electric,Manual,3829,352,Brand New,11.0,25949.23
Mercedes-Benz,E-Class,2018,0,Diesel,Manual,2420,633,Brand New,14.8,73044.21
Ferrari,488,2019,0,Diesel,Manual,2371,617,Brand New,18.2,133652.41
Honda,Accord,2009,214581,Hybrid,Manual,2566,614,Second Hand,24.2,2000.0
BMW,3 Series,2002,191677,Electric,Manual,4360,417,Second Hand,28.8,2000.0
Lamborghini,Huracan,2006,139649,Electric,Automatic,804,355,Second Hand,26.0,40674.25
BMW,3 Series,2015,0,Petrol,Manual,1596,191,Brand New,31.7,85942.23
Volkswagen,Vento,2004,78026,Petrol,Automatic,982,624,Second Hand,19.0,3348.06
Porsche,Macan,2019,194999,Hybrid,Automatic,2122,139,Second Hand,30.9,49352.7
Lamborghini,Aventador,1991,0,Petrol,Automatic,2942,502,Brand New,17.5,389311.04
Lamborghini,Aventador,2019,50901,Diesel,Manual,2323,170,Second Hand,14.8,236269.75
Ferrari,488,1995,0,Hybrid,Automatic,2307,483,Brand New,13.4,367048.12
Porsche,Macan,1992,0,Hybrid,Automatic,3893,411,Brand New,22.1,61450.82
Ferrari,Roma,2009,0,Hybrid,Manual,1741,339,Brand New,23.0,365074.16
Audi,A4,1990,0,Electric,Manual,1283,377,Brand New,19.2,89510.23
Tesla,Model X,1993,180249,Petrol,Automatic,2046,657,Second Hand,28.9,2000.0
Toyota,Corolla,2024,199355,Petrol,Manual,2946,113,Second Hand,26.3,4275.32
Volkswagen,Polo,2016,218100,Electric,Automatic,1360,503,Second Hand,17.2,2000.0
Mahindra,XUV500,1999,0,Hybrid,Automatic,2714,279,Brand New,12.7,25340.36
Porsche,Macan,2005,0,Diesel,Automatic,4479,105,Brand New,8.1,53423.63
BMW,X5,2001,215456,Hybrid,Manual,2318,185,Second Hand,26.6,2000.0
Toyota,RAV4,2019,216611,Petrol,Manual,873,263,Second Hand,17.8,11105.1
Kia,Sonet,2019,39693,Petrol,Automatic,3412,253,Second Hand,29.4,23245.46
Toyota,RAV4,2001,0,Diesel,Manual,1790,302,Brand New,19.4,27734.7
Tata,Safari,1998,0,Diesel,Automatic,2046,424,Brand New,23.9,38991.47
Mercedes-Benz,GLC,2016,55858,Petrol,Manual,1152,125,Second Hand,27.3,46541.49
Mercedes-Benz,E-Class,2015,0,Diesel,Automatic,1993,574,Brand New,28.5,70818.02
Ferrari,488,2016,93334,Diesel,Automatic,2977,89,Second Hand,24.6,112022.14
Mahindra,Scorpio,1996,203458,Electric,Automatic,1540,558,Second Hand,23.8,2000.0
Porsche,Macan,2014,164645,Diesel,Manual,3197,85,Second Hand,18.5,33585.75
Lamborghini,Huracan,1997,0,Hybrid,Manual,2392,296,Brand New,10.5,165060.48
Ford,Mustang,2002,240188,Hybrid,Automatic,2258,77,Second Hand,11.2,2000.0
Lamborghini,Aventador,2013,138827,Petrol,Manual,3027,378,Second Hand,15.1,119195.85
BMW,X5,2005,47044,Electric,Automatic,1072,485,Second Hand,28.2,2196.44
Hyundai,Creta,2000,222230,Electric,Automatic,2329,286,Second Hand,9.2,2000.0
Porsche,Macan,2012,108787,Electric,Automatic,3846,684,Second Hand,13.9,35717.51
Nissan,Micra,2000,0,Diesel,Manual,4350,389,Brand New,16.2,21183.11
Kia,Carnival,1988,0,Diesel,Automatic,4794,369,Brand New,19.1,21419.15
Kia,Seltos,2014,22028,Diesel,Automatic,2015,518,Second Hand,18.1,7854.57
Toyota,RAV4,2010,114993,Petrol,Manual,4539,516,Second Hand,15.5,2000.0
Ford,Mustang,1998,0,Diesel,Automatic,1395,488,Brand New,25.3,25968.37
Rolls-Royce,Phantom,1989,213245,Petrol,Manual,3849,584,Second Hand,26.3,2000.0
Tata,Nexon,1988,0,Electric,Automatic,2251,368,Brand New,12.9,24207.42
Volvo,XC60,2004,0,Hybrid,Manual,4884,573,Brand New,14.3,80852.26
Tata,Harrier,1994,0,Diesel,Manual,4468,679,Brand New,22.7,9139.77
Kia,Carnival,2012,0,Hybrid,Manual,2341,570,Brand New,24.8,16637.25
Kia,Seltos,1997,0,Petrol,Manual,2554,582,Brand New,29.0,15479.37
Rolls-Royce,Ghost,2018,98857,Electric,Automatic,2641,386,Second Hand,27.6,104309.24
Porsche,911,1989,0,Electric,Automatic,2182,226,Brand New,31.1,99389.04
Ferrari,488,1997,0,Petrol,Automatic,2847,172,Brand New,20.3,302619.85
Tesla,Model Y,1985,0,Hybrid,Automatic,1289,273,Brand New,34.5,165560.12
Audi,Q5,2010,0,Petrol,Manual,4495,140,Brand New,17.5,76513.95
McLaren,570S,2021,0,Hybrid,Automatic,1593,493,Brand New,12.1,122315.3
Volvo,XC60,2009,104608,Petrol,Automatic,3586,366,Second Hand,32.5,21649.13
Tesla,Model S,1992,74053,Petrol,Automatic,2761,367,Second Hand,31.4,2000.0
McLaren,720S,2017,135197,Diesel,Manual,2188,497,Second Hand,21.2,267481.26
Lamborghini,Huracan,2008,0,Petrol,Manual,2967,319,Brand New,24.7,177503.39
McLaren,720S,1997,0,Hybrid,Automatic,864,392,Brand New,15.9,255963.48
Lamborghini,Aventador,1993,0,Petrol,Manual,2885,298,Brand New,23.2,304291.63
Nissan,Micra,2010,155348,Hybrid,Manual,2962,675,Second Hand,29.1,2958.06
McLaren,570S,2016,46402,Hybrid,Automatic,4528,213,Second Hand,14.3,162605.63
BMW,3 Series,2018,202439,Electric,Automatic,1861,493,Second Hand,17.2,29981.42
Ford,Figo,1992,244347,Petrol,Manual,1567,346,Second Hand,23.1,2000.0
Mahindra,Thar,1986,139437,Diesel,Automatic,1699,461,Second Hand,34.2,2000.0
Volvo,S60,2006,0,Electric,Automatic,857,65,Brand New,18.8,75592.07
Audi,Q5,2000,0,Electric,Manual,4443,200,Brand New,19.1,110029.8
Porsche,911,1988,0,Diesel,Automatic,1636,667,Brand New,34.1,95367.01
Honda,City,2020,119838,Hybrid,Automatic,4789,194,Second Hand,9.6,2000.0
Honda,Accord,2000,125490,Diesel,Manual,1382,290,Second Hand,14.0,2000.0
McLaren,720S,1990,0,Hybrid,Automatic,3208,494,Brand New,21.8,160318.16
Ferrari,488,2012,0,Diesel,Manual,4415,683,Brand New,25.7,186793.42
Mahindra,Scorpio,2006,0,Diesel,Automatic,2979,165,Brand New,9.6,28281.34
Rolls-Royce,Ghost,2010,0,Electric,Automatic,1915,609,Brand New,33.1,169062.36
Audi,Q5,1999,0,Diesel,Automatic,3457,622,Brand New,27.4,78095.71
McLaren,720S,1987,31504,Hybrid,Manual,3357,436,Second Hand,13.1,2000.0
Mahindra,Scorpio,1987,183925,Hybrid,Manual,4477,640,Second Hand,27.5,2000.0
Nissan,Micra,2004,97133,Hybrid,Manual,4950,107,Second Hand,25.6,2000.0
Ferrari,Roma,2007,0,Petrol,Automatic,3595,420,Brand New,22.9,359657.09
Hyundai,Verna,2010,0,Diesel,Automatic,2124,102,Brand New,30.3,43990.32
